Date,DayOfWeek,Area,Weather,Festival,AvgTraffic_Area,Traffic_Today,Event,Event_Impact(%),Extra_Time_Minutes
2025-02-22,Saturday,Airport Road,Foggy,None,82,84,Sports Event,11,8.8
2025-06-02,Monday,Airport Road,Humid,None,50,45,None,0,0.0
2025-05-12,Monday,Khandagiri,Humid,None,60,55,None,0,0.0
2025-05-08,Thursday,Airport Road,Rainy,None,83,84,VIP Convoy,25,20.0
2025-01-03,Friday,Rasulgarh,Rainy,None,93,92,None,0,0.0
2025-04-28,Monday,Kalpana Square,Sunny,None,83,86,Sports Event,10,8.0
2025-09-07,Sunday,Master Canteen,Foggy,None,100,100,None,0,0.0
2025-03-31,Monday,Master Canteen,Humid,None,80,83,None,0,0.0
2025-05-28,Wednesday,Airport Road,Humid,None,50,53,None,0,0.0
2025-05-01,Thursday,Jaydev Vihar,Foggy,None,80,85,None,0,0.0
2025-07-01,Tuesday,Khandagiri,Humid,Rath Yatra,79,78,None,0,0.0
2025-04-23,Wednesday,Khandagiri,Rainy,None,87,85,Sports Event,13,10.4
2025-03-03,Monday,Jaydev Vihar,Rainy,None,84,83,None,0,0.0
2025-01-29,Wednesday,Khandagiri,Humid,None,60,57,None,0,0.0
2025-01-19,Sunday,Kalpana Square,Foggy,None,99,98,Sports Event,12,9.6
2025-02-19,Wednesday,Jaydev Vihar,Sunny,None,80,79,VIP Convoy,19,15.2
2025-03-26,Wednesday,Rasulgarh,Humid,None,75,78,None,0,0.0
2025-01-11,Saturday,Airport Road,Cloudy,None,82,86,Political Rally,10,8.0
2025-02-28,Friday,Rasulgarh,Foggy,None,98,99,Accident,21,16.8
2025-06-01,Sunday,Master Canteen,Sunny,None,86,89,None,0,0.0
2025-03-18,Tuesday,Airport Road,Foggy,None,60,63,None,0,0.0
2025-05-13,Tuesday,Master Canteen,Foggy,None,90,86,None,0,0.0
2025-03-25,Tuesday,Airport Road,Sunny,Holi,75,79,None,0,0.0
2025-07-28,Monday,Jaydev Vihar,Sunny,None,86,83,Bad Roads,7,5.6
2025-09-02,Tuesday,Khandagiri,Sunny,None,60,58,None,0,0.0
2025-01-10,Friday,Khandagiri,Foggy,None,65,63,None,0,0.0
2025-02-23,Sunday,Master Canteen,Sunny,None,90,87,None,0,0.0
2025-05-31,Saturday,Master Canteen,Sunny,None,93,92,None,0,0.0
2025-04-26,Saturday,Rasulgarh,Sunny,None,90,92,None,0,0.0
2025-07-27,Sunday,Khandagiri,Humid,Rath Yatra,105,100,Sports Event,14,11.2
2025-06-02,Monday,Kalpana Square,Rainy,None,75,71,None,0,0.0
2025-06-18,Wednesday,Master Canteen,Foggy,None,90,93,None,0,0.0
2025-06-07,Saturday,Master Canteen,Rainy,None,125,100,Accident,22,17.6
2025-06-07,Saturday,Rasulgarh,Cloudy,None,88,91,None,0,0.0
2025-07-01,Tuesday,Airport Road,Foggy,None,57,56,None,0,0.0
2025-08-14,Thursday,Rasulgarh,Humid,None,75,76,None,0,0.0
2025-02-03,Monday,Master Canteen,Rainy,None,99,99,None,0,0.0
2025-07-31,Thursday,Khandagiri,Rainy,None,94,99,Sports Event,11,8.8
2025-01-17,Friday,Rasulgarh,Humid,None,75,72,None,0,0.0
2025-02-21,Friday,Kalpana Square,Rainy,None,85,86,None,0,0.0
2025-06-20,Friday,Rasulgarh,Cloudy,None,75,78,None,0,0.0
2025-01-24,Friday,Kalpana Square,Foggy,None,74,72,None,0,0.0
2025-02-13,Thursday,Rasulgarh,Foggy,None,100,98,Bad Roads,6,4.8
2025-03-10,Monday,Kalpana Square,Rainy,Holi,107,100,None,0,0.0
2025-09-07,Sunday,Khandagiri,Rainy,None,83,88,None,0,0.0
2025-05-11,Sunday,Jaydev Vihar,Rainy,None,103,100,None,0,0.0
2025-05-22,Thursday,Rasulgarh,Humid,None,75,75,None,0,0.0
2025-08-15,Friday,Airport Road,Sunny,None,50,46,None,0,0.0
2025-04-26,Saturday,Khandagiri,Sunny,None,69,73,None,0,0.0
2025-07-18,Friday,Khandagiri,Humid,None,60,59,None,0,0.0
2025-01-12,Sunday,Kalpana Square,Cloudy,None,92,87,Accident,25,20.0
2025-08-15,Friday,Jaydev Vihar,Foggy,Independence Day,108,100,Accident,29,23.2
2025-04-06,Sunday,Jaydev Vihar,Cloudy,None,94,94,Sports Event,11,8.8
2025-08-06,Wednesday,Kalpana Square,Rainy,None,80,75,None,0,0.0
2025-04-12,Saturday,Kalpana Square,Foggy,None,101,96,Political Rally,14,11.2
2025-08-18,Monday,Kalpana Square,Humid,None,65,63,None,0,0.0
2025-06-13,Friday,Master Canteen,Sunny,None,98,99,Bad Roads,9,7.2
2025-08-30,Saturday,Khandagiri,Humid,None,66,61,None,0,0.0
2025-01-02,Thursday,Jaydev Vihar,Cloudy,None,70,67,None,0,0.0
2025-01-30,Thursday,Khandagiri,Cloudy,None,60,63,None,0,0.0
2025-07-21,Monday,Rasulgarh,Cloudy,None,75,76,None,0,0.0
2025-08-12,Tuesday,Rasulgarh,Cloudy,None,92,93,Sports Event,10,8.0
2025-01-31,Friday,Master Canteen,Cloudy,None,80,81,None,0,0.0
2025-08-01,Friday,Master Canteen,Humid,None,100,98,Political Rally,10,8.0
2025-03-02,Sunday,Rasulgarh,Sunny,None,85,87,None,0,0.0
2025-02-25,Tuesday,Airport Road,Sunny,None,64,59,VIP Convoy,15,12.0
2025-06-17,Tuesday,Airport Road,Sunny,None,65,69,Bad Roads,6,4.8
2025-05-14,Wednesday,Khandagiri,Cloudy,None,80,83,Political Rally,13,10.4
2025-07-21,Monday,Khandagiri,Sunny,Rath Yatra,102,100,Construction Work,7,5.6
2025-01-02,Thursday,Master Canteen,Humid,None,80,76,None,0,0.0
2025-05-25,Sunday,Rasulgarh,Sunny,None,87,91,None,0,0.0
2025-05-10,Saturday,Airport Road,Foggy,None,63,66,None,0,0.0
2025-07-14,Monday,Jaydev Vihar,Rainy,None,87,92,None,0,0.0
2025-08-20,Wednesday,Kalpana Square,Rainy,None,98,100,Political Rally,18,14.4
2025-02-03,Monday,Jaydev Vihar,Cloudy,None,70,73,None,0,0.0
2025-06-18,Wednesday,Airport Road,Cloudy,None,70,71,Accident,25,20.0
2025-03-07,Friday,Kalpana Square,Sunny,None,75,75,Sports Event,13,10.4
2025-01-13,Monday,Rasulgarh,Humid,None,90,86,VIP Convoy,24,19.2
2025-01-13,Monday,Master Canteen,Sunny,None,80,80,None,0,0.0
2025-06-24,Tuesday,Jaydev Vihar,Humid,None,70,70,None,0,0.0
2025-01-04,Saturday,Jaydev Vihar,Humid,None,103,100,Political Rally,20,16.0
2025-07-13,Sunday,Rasulgarh,Rainy,Rath Yatra,121,100,None,0,0.0
2025-06-17,Tuesday,Khandagiri,Sunny,None,60,61,None,0,0.0
2025-06-21,Saturday,Master Canteen,Sunny,None,85,81,None,0,0.0
2025-05-19,Monday,Rasulgarh,Humid,None,75,77,None,0,0.0
2025-07-16,Wednesday,Master Canteen,Cloudy,Rath Yatra,105,100,None,0,0.0
2025-02-07,Friday,Kalpana Square,Cloudy,None,65,66,None,0,0.0
2025-08-16,Saturday,Airport Road,Foggy,None,72,71,None,0,0.0
2025-06-09,Monday,Airport Road,Foggy,None,60,65,None,0,0.0
2025-07-23,Wednesday,Kalpana Square,Humid,None,65,68,None,0,0.0
2025-04-09,Wednesday,Airport Road,Cloudy,None,50,50,None,0,0.0
2025-05-19,Monday,Kalpana Square,Rainy,None,75,71,None,0,0.0
2025-06-22,Sunday,Airport Road,Rainy,None,75,71,None,0,0.0
2025-02-10,Monday,Rasulgarh,Sunny,None,87,90,Sports Event,12,9.6
2025-04-03,Thursday,Kalpana Square,Sunny,None,65,66,None,0,0.0
2025-03-09,Sunday,Rasulgarh,Rainy,Holi,141,100,VIP Convoy,17,13.6
2025-06-14,Saturday,Master Canteen,Foggy,None,102,100,Political Rally,18,14.4
2025-08-22,Friday,Khandagiri,Sunny,None,60,59,None,0,0.0
2025-06-26,Thursday,Airport Road,Rainy,None,67,64,None,0,0.0
2025-05-08,Thursday,Master Canteen,Sunny,None,93,97,VIP Convoy,18,14.4
2025-02-06,Thursday,Jaydev Vihar,Foggy,None,77,82,None,0,0.0
2025-05-27,Tuesday,Airport Road,Rainy,None,76,78,Accident,22,17.6
2025-02-25,Tuesday,Jaydev Vihar,Foggy,None,79,81,None,0,0.0
2025-04-19,Saturday,Airport Road,Rainy,None,68,67,None,0,0.0
2025-04-10,Thursday,Master Canteen,Foggy,None,99,95,VIP Convoy,19,15.2
2025-09-04,Thursday,Master Canteen,Foggy,None,87,87,None,0,0.0
2025-02-04,Tuesday,Kalpana Square,Foggy,None,71,75,None,0,0.0
2025-06-09,Monday,Kalpana Square,Cloudy,None,85,90,Sports Event,10,8.0
2025-04-28,Monday,Airport Road,Sunny,None,50,53,None,0,0.0
2025-03-13,Thursday,Kalpana Square,Humid,None,75,78,Accident,30,24.0
2025-09-05,Friday,Airport Road,Sunny,None,50,55,None,0,0.0
2025-03-29,Saturday,Jaydev Vihar,Sunny,None,91,95,Sports Event,10,8.0
2025-04-08,Tuesday,Jaydev Vihar,Humid,None,70,73,None,0,0.0
2025-09-04,Thursday,Kalpana Square,Cloudy,None,65,68,None,0,0.0
2025-03-15,Saturday,Rasulgarh,Cloudy,None,82,77,None,0,0.0
2025-01-29,Wednesday,Rasulgarh,Cloudy,None,75,78,None,0,0.0
2025-07-20,Sunday,Airport Road,Cloudy,Rath Yatra,90,91,Accident,21,16.8
2025-04-18,Friday,Kalpana Square,Foggy,None,72,77,None,0,0.0
2025-02-18,Tuesday,Airport Road,Humid,None,50,53,None,0,0.0
2025-06-21,Saturday,Jaydev Vihar,Cloudy,None,90,88,Bad Roads,6,4.8
2025-03-04,Tuesday,Rasulgarh,Sunny,None,75,78,None,0,0.0
2025-08-04,Monday,Rasulgarh,Foggy,None,98,95,Political Rally,17,13.6
2025-07-10,Thursday,Rasulgarh,Foggy,None,90,92,Bad Roads,5,4.0
2025-03-03,Monday,Kalpana Square,Rainy,None,76,73,None,0,0.0
2025-05-28,Wednesday,Khandagiri,Sunny,None,60,55,None,0,0.0
2025-08-25,Monday,Master Canteen,Humid,None,80,84,None,0,0.0
2025-08-28,Thursday,Airport Road,Humid,None,62,57,Construction Work,10,8.0
2025-07-09,Wednesday,Jaydev Vihar,Cloudy,None,85,80,Political Rally,17,13.6
2025-01-21,Tuesday,Kalpana Square,Rainy,None,88,88,Construction Work,8,6.4
2025-07-05,Saturday,Khandagiri,Rainy,Rath Yatra,109,100,None,0,0.0
2025-08-09,Saturday,Khandagiri,Sunny,None,73,72,None,0,0.0
2025-04-02,Wednesday,Rasulgarh,Sunny,None,75,76,None,0,0.0
2025-05-11,Sunday,Airport Road,Cloudy,None,72,70,Accident,25,20.0
2025-05-24,Saturday,Rasulgarh,Cloudy,None,88,91,None,0,0.0
2025-04-25,Friday,Khandagiri,Sunny,None,60,63,None,0,0.0
2025-02-09,Sunday,Jaydev Vihar,Rainy,None,89,87,None,0,0.0
2025-07-29,Tuesday,Kalpana Square,Sunny,None,84,88,VIP Convoy,19,15.2
2025-05-23,Friday,Airport Road,Foggy,None,70,65,Bad Roads,10,8.0
2025-07-22,Tuesday,Master Canteen,Rainy,Rath Yatra,107,100,None,0,0.0
2025-08-06,Wednesday,Jaydev Vihar,Foggy,None,76,77,None,0,0.0
2025-01-07,Tuesday,Khandagiri,Foggy,None,65,69,None,0,0.0
2025-08-17,Sunday,Rasulgarh,Sunny,Independence Day,106,100,None,0,0.0
2025-06-28,Saturday,Jaydev Vihar,Cloudy,None,77,74,None,0,0.0
2025-02-13,Thursday,Khandagiri,Humid,None,60,60,None,0,0.0
2025-06-05,Thursday,Rasulgarh,Rainy,None,86,85,None,0,0.0
2025-09-08,Monday,Rasulgarh,Humid,None,93,91,Accident,23,18.4
2025-02-17,Monday,Airport Road,Humid,None,50,55,None,0,0.0
2025-08-22,Friday,Jaydev Vihar,Sunny,None,90,91,Accident,25,20.0
2025-04-26,Saturday,Khandagiri,Humid,None,80,84,Political Rally,17,13.6
2025-06-06,Friday,Jaydev Vihar,Rainy,None,88,92,None,0,0.0
2025-07-25,Friday,Khandagiri,Rainy,Rath Yatra,102,100,None,0,0.0
2025-05-29,Thursday,Jaydev Vihar,Humid,None,70,68,None,0,0.0
2025-05-09,Friday,Rasulgarh,Foggy,None,82,87,None,0,0.0
2025-06-21,Saturday,Jaydev Vihar,Sunny,None,80,82,None,0,0.0
2025-07-10,Thursday,Kalpana Square,Humid,None,65,69,None,0,0.0
2025-05-06,Tuesday,Jaydev Vihar,Foggy,None,97,94,Sports Event,14,11.2
2025-07-04,Friday,Khandagiri,Sunny,None,71,67,VIP Convoy,24,19.2
2025-07-27,Sunday,Rasulgarh,Rainy,Rath Yatra,128,100,VIP Convoy,19,15.2
2025-05-13,Tuesday,Khandagiri,Humid,None,60,59,None,0,0.0
2025-02-25,Tuesday,Rasulgarh,Rainy,None,90,91,None,0,0.0
2025-08-15,Friday,Khandagiri,Humid,None,60,60,None,0,0.0
2025-08-01,Friday,Airport Road,Sunny,None,60,61,Accident,25,20.0
2025-05-17,Saturday,Jaydev Vihar,Foggy,None,114,100,Accident,24,19.2
2025-03-11,Tuesday,Rasulgarh,Sunny,None,93,96,Political Rally,18,14.4
2025-09-06,Saturday,Khandagiri,Sunny,None,88,86,Construction Work,8,6.4
2025-04-01,Tuesday,Rasulgarh,Rainy,None,111,100,Accident,21,16.8
2025-04-07,Monday,Airport Road,Foggy,None,56,58,None,0,0.0
2025-05-01,Thursday,Rasulgarh,Humid,None,75,74,None,0,0.0
2025-02-07,Friday,Airport Road,Sunny,None,50,45,None,0,0.0
2025-08-17,Sunday,Airport Road,Foggy,None,75,76,None,0,0.0
2025-06-08,Sunday,Rasulgarh,Cloudy,None,101,100,Bad Roads,6,4.8
2025-03-29,Saturday,Khandagiri,Rainy,None,92,88,Sports Event,11,8.8
2025-07-14,Monday,Jaydev Vihar,Sunny,Rath Yatra,90,91,None,0,0.0
2025-01-19,Sunday,Rasulgarh,Sunny,None,101,100,VIP Convoy,19,15.2
2025-03-16,Sunday,Airport Road,Rainy,None,74,71,None,0,0.0
2025-05-01,Thursday,Rasulgarh,Foggy,None,96,97,Bad Roads,5,4.0
2025-08-02,Saturday,Airport Road,Rainy,None,94,95,VIP Convoy,15,12.0
2025-03-13,Thursday,Khandagiri,Cloudy,None,60,63,None,0,0.0
2025-04-25,Friday,Kalpana Square,Rainy,None,76,80,None,0,0.0
2025-08-18,Monday,Jaydev Vihar,Cloudy,None,70,70,None,0,0.0
2025-06-11,Wednesday,Rasulgarh,Rainy,None,85,83,None,0,0.0
2025-03-25,Tuesday,Rasulgarh,Sunny,None,75,79,None,0,0.0
2025-07-02,Wednesday,Airport Road,Foggy,None,74,77,Bad Roads,5,4.0
2025-09-06,Saturday,Master Canteen,Cloudy,None,107,100,VIP Convoy,22,17.6
2025-09-03,Wednesday,Kalpana Square,Rainy,None,75,76,None,0,0.0
2025-07-26,Saturday,Kalpana Square,Rainy,Rath Yatra,106,100,None,0,0.0
2025-05-10,Saturday,Airport Road,Cloudy,None,58,58,None,0,0.0
2025-04-30,Wednesday,Khandagiri,Rainy,None,79,79,None,0,0.0
2025-02-03,Monday,Kalpana Square,Cloudy,None,79,81,Construction Work,12,9.6
2025-05-17,Saturday,Rasulgarh,Foggy,None,110,100,Bad Roads,6,4.8
2025-01-19,Sunday,Jaydev Vihar,Humid,None,78,83,None,0,0.0
2025-08-02,Saturday,Khandagiri,Rainy,None,85,84,None,0,0.0
2025-05-09,Friday,Master Canteen,Humid,None,80,82,None,0,0.0
2025-08-05,Tuesday,Master Canteen,Humid,None,80,79,None,0,0.0
2025-03-05,Wednesday,Kalpana Square,Rainy,None,80,77,None,0,0.0
2025-05-24,Saturday,Jaydev Vihar,Sunny,None,79,75,None,0,0.0
2025-01-19,Sunday,Rasulgarh,Cloudy,None,102,100,Sports Event,14,11.2
2025-06-02,Monday,Jaydev Vihar,Cloudy,None,87,90,Accident,30,24.0
2025-09-04,Thursday,Jaydev Vihar,Sunny,None,90,86,Bad Roads,9,7.2
2025-03-27,Thursday,Khandagiri,Foggy,None,86,88,VIP Convoy,17,13.6
2025-08-20,Wednesday,Master Canteen,Rainy,None,99,100,None,0,0.0
2025-06-18,Wednesday,Master Canteen,Sunny,None,80,81,None,0,0.0
2025-07-28,Monday,Rasulgarh,Rainy,Rath Yatra,119,100,None,0,0.0
2025-04-02,Wednesday,Kalpana Square,Humid,None,65,60,None,0,0.0
2025-08-21,Thursday,Kalpana Square,Sunny,None,81,76,Accident,20,16.0
2025-05-19,Monday,Rasulgarh,Rainy,None,105,100,Sports Event,10,8.0
2025-02-06,Thursday,Rasulgarh,Foggy,None,94,96,Construction Work,5,4.0
2025-05-18,Sunday,Master Canteen,Foggy,None,97,97,None,0,0.0
2025-04-26,Saturday,Kalpana Square,Cloudy,None,78,83,None,0,0.0
2025-01-04,Saturday,Khandagiri,Humid,None,69,64,None,0,0.0
2025-04-15,Tuesday,Airport Road,Cloudy,None,50,54,None,0,0.0
2025-01-28,Tuesday,Jaydev Vihar,Humid,None,83,83,Accident,20,16.0
2025-07-02,Wednesday,Master Canteen,Foggy,None,85,90,None,0,0.0
2025-01-16,Thursday,Rasulgarh,Sunny,None,93,98,Political Rally,19,15.2
2025-08-30,Saturday,Jaydev Vihar,Sunny,None,82,78,None,0,0.0
2025-08-29,Friday,Kalpana Square,Humid,Independence Day,86,88,None,0,0.0
2025-04-17,Thursday,Airport Road,Sunny,None,64,67,Construction Work,8,6.4
2025-04-21,Monday,Master Canteen,Sunny,None,80,82,None,0,0.0
2025-01-30,Thursday,Rasulgarh,Foggy,None,80,78,None,0,0.0
2025-06-14,Saturday,Rasulgarh,Rainy,None,92,89,None,0,0.0
2025-06-28,Saturday,Master Canteen,Sunny,None,111,100,Construction Work,7,5.6
2025-03-27,Thursday,Rasulgarh,Sunny,None,75,70,None,0,0.0
2025-03-19,Wednesday,Rasulgarh,Humid,None,89,92,Political Rally,18,14.4
2025-06-05,Thursday,Master Canteen,Rainy,None,109,100,Political Rally,13,10.4
2025-01-23,Thursday,Kalpana Square,Sunny,None,75,79,Accident,27,21.6
2025-08-22,Friday,Airport Road,Humid,None,50,52,None,0,0.0
2025-02-12,Wednesday,Khandagiri,Sunny,None,75,77,Construction Work,7,5.6
2025-02-26,Wednesday,Airport Road,Humid,None,50,55,None,0,0.0
2025-02-13,Thursday,Master Canteen,Humid,None,91,95,Sports Event,9,7.2
2025-03-16,Sunday,Khandagiri,Humid,None,75,75,None,0,0.0
2025-04-22,Tuesday,Kalpana Square,Foggy,None,89,86,Political Rally,14,11.2
2025-03-13,Thursday,Airport Road,Rainy,None,65,67,None,0,0.0
2025-05-09,Friday,Master Canteen,Foggy,None,86,90,None,0,0.0
2025-04-22,Tuesday,Khandagiri,Humid,None,77,79,Sports Event,15,12.0
2025-04-12,Saturday,Jaydev Vihar,Rainy,None,96,100,None,0,0.0
2025-07-01,Tuesday,Airport Road,Rainy,None,81,77,Accident,27,21.6
2025-03-25,Tuesday,Airport Road,Foggy,None,76,73,Bad Roads,9,7.2
2025-06-12,Thursday,Kalpana Square,Sunny,None,65,68,None,0,0.0
2025-01-04,Saturday,Kalpana Square,Cloudy,None,93,96,Sports Event,15,12.0
2025-02-03,Monday,Jaydev Vihar,Humid,None,89,90,Bad Roads,9,7.2
2025-03-30,Sunday,Rasulgarh,Foggy,None,96,97,None,0,0.0
2025-01-07,Tuesday,Khandagiri,Cloudy,None,60,60,None,0,0.0
2025-03-11,Tuesday,Master Canteen,Sunny,Holi,120,100,Political Rally,13,10.4
2025-02-27,Thursday,Kalpana Square,Humid,None,83,85,Bad Roads,8,6.4
2025-02-19,Wednesday,Jaydev Vihar,Humid,None,70,66,None,0,0.0
2025-06-05,Thursday,Rasulgarh,Humid,None,75,71,None,0,0.0
2025-01-16,Thursday,Rasulgarh,Cloudy,None,94,97,Construction Work,5,4.0
2025-01-20,Monday,Rasulgarh,Foggy,None,84,79,None,0,0.0
2025-07-04,Friday,Rasulgarh,Foggy,None,84,88,None,0,0.0
2025-08-31,Sunday,Airport Road,Foggy,None,66,69,None,0,0.0
2025-02-16,Sunday,Rasulgarh,Sunny,None,98,93,Accident,26,20.8
2025-09-06,Saturday,Airport Road,Cloudy,None,64,61,None,0,0.0
2025-04-27,Sunday,Master Canteen,Humid,None,108,100,Bad Roads,9,7.2
2025-03-12,Wednesday,Rasulgarh,Humid,None,75,79,None,0,0.0
2025-06-02,Monday,Rasulgarh,Sunny,None,75,73,None,0,0.0
2025-05-01,Thursday,Kalpana Square,Humid,None,81,79,Construction Work,10,8.0
2025-06-14,Saturday,Jaydev Vihar,Foggy,None,84,88,None,0,0.0
2025-05-10,Saturday,Jaydev Vihar,Rainy,None,118,100,Sports Event,8,6.4
2025-07-06,Sunday,Kalpana Square,Rainy,Rath Yatra,130,100,Sports Event,10,8.0
2025-01-18,Saturday,Jaydev Vihar,Sunny,None,80,85,None,0,0.0
2025-02-17,Monday,Jaydev Vihar,Rainy,None,96,100,Construction Work,12,9.6
2025-03-28,Friday,Khandagiri,Rainy,None,79,79,None,0,0.0
2025-05-23,Friday,Airport Road,Foggy,None,60,57,None,0,0.0
2025-04-10,Thursday,Jaydev Vihar,Foggy,None,76,77,None,0,0.0
2025-02-21,Friday,Jaydev Vihar,Sunny,None,70,71,None,0,0.0
2025-04-11,Friday,Khandagiri,Cloudy,None,73,77,Bad Roads,10,8.0
2025-03-22,Saturday,Airport Road,Foggy,None,75,75,Accident,27,21.6
2025-06-25,Wednesday,Rasulgarh,Humid,None,90,87,Bad Roads,5,4.0
2025-08-11,Monday,Master Canteen,Cloudy,None,80,82,None,0,0.0
2025-05-15,Thursday,Jaydev Vihar,Rainy,None,82,82,None,0,0.0
2025-03-16,Sunday,Kalpana Square,Sunny,None,79,77,None,0,0.0
2025-04-05,Saturday,Airport Road,Foggy,None,75,74,Bad Roads,10,8.0
2025-06-03,Tuesday,Airport Road,Foggy,None,57,60,None,0,0.0
2025-01-02,Thursday,Airport Road,Sunny,None,66,69,Construction Work,6,4.8
2025-08-04,Monday,Jaydev Vihar,Rainy,None,90,89,Sports Event,9,7.2
2025-03-16,Sunday,Master Canteen,Rainy,None,113,100,Bad Roads,5,4.0
2025-01-03,Friday,Khandagiri,Foggy,None,66,69,None,0,0.0
2025-07-27,Sunday,Airport Road,Sunny,None,77,79,Bad Roads,10,8.0
2025-01-25,Saturday,Jaydev Vihar,Rainy,None,90,86,None,0,0.0
2025-05-01,Thursday,Rasulgarh,Rainy,None,92,95,None,0,0.0
2025-01-22,Wednesday,Khandagiri,Rainy,None,77,80,None,0,0.0
2025-06-11,Wednesday,Jaydev Vihar,Cloudy,None,70,66,None,0,0.0
2025-08-06,Wednesday,Khandagiri,Cloudy,None,77,81,Accident,23,18.4
2025-06-30,Monday,Airport Road,Humid,None,50,46,None,0,0.0
2025-08-14,Thursday,Jaydev Vihar,Cloudy,None,70,72,None,0,0.0
2025-06-20,Friday,Rasulgarh,Cloudy,None,75,73,None,0,0.0
2025-02-03,Monday,Kalpana Square,Humid,None,82,81,Construction Work,5,4.0
2025-04-20,Sunday,Khandagiri,Rainy,None,100,98,Political Rally,16,12.8
2025-03-21,Friday,Airport Road,Cloudy,None,65,65,Political Rally,10,8.0
2025-07-28,Monday,Jaydev Vihar,Sunny,None,86,90,Accident,26,20.8
2025-06-29,Sunday,Rasulgarh,Humid,None,96,96,Accident,21,16.8
2025-03-29,Saturday,Master Canteen,Sunny,None,85,88,None,0,0.0
2025-08-08,Friday,Rasulgarh,Humid,None,87,82,Construction Work,11,8.8
2025-05-18,Sunday,Rasulgarh,Humid,None,92,95,Sports Event,11,8.8
2025-01-17,Friday,Khandagiri,Rainy,None,77,78,None,0,0.0
2025-04-05,Saturday,Master Canteen,Cloudy,None,111,100,Sports Event,15,12.0
2025-06-03,Tuesday,Rasulgarh,Rainy,None,99,100,Political Rally,10,8.0
2025-01-27,Monday,Airport Road,Cloudy,None,68,71,Construction Work,5,4.0
2025-09-07,Sunday,Jaydev Vihar,Rainy,None,89,87,None,0,0.0
2025-09-04,Thursday,Airport Road,Humid,None,70,75,VIP Convoy,15,12.0
2025-02-22,Saturday,Airport Road,Foggy,None,67,71,None,0,0.0
2025-05-18,Sunday,Jaydev Vihar,Sunny,None,97,99,Bad Roads,8,6.4
2025-04-12,Saturday,Kalpana Square,Sunny,None,87,92,Bad Roads,5,4.0
2025-07-02,Wednesday,Jaydev Vihar,Sunny,None,88,84,Political Rally,18,14.4
2025-03-01,Saturday,Jaydev Vihar,Foggy,None,104,100,Construction Work,9,7.2
2025-07-03,Thursday,Airport Road,Foggy,Rath Yatra,75,78,None,0,0.0
2025-02-28,Friday,Khandagiri,Rainy,None,72,75,None,0,0.0
2025-01-09,Thursday,Kalpana Square,Sunny,None,80,75,VIP Convoy,19,15.2
2025-05-26,Monday,Master Canteen,Foggy,None,89,85,None,0,0.0
