Date,DayOfWeek,Area,Weather,Festival,AvgTraffic_Area,Traffic_Today,Event,Event_Impact(%),Extra_Time_Minutes,from,to,lat_from,lon_from,lat_to,lon_to,traffic_score,event_multiplier,weather_multiplier,combined_impact_score
2025-05-09,Friday,Kalpana Square,Humid,,65,70,,0,0.0,Kalpana Square,Kalpana Square,20.370178654347672,85.79993339112791,20.27243314246812,85.78429656883314,0.4545454545454546,1.0,1.05,0.47727272727272735
2025-05-23,Friday,Airport Road,Cloudy,,50,54,,0,0.0,Airport Road,Kalpana Square,20.268806557666434,85.77097564775121,20.24365360592532,85.84073825916005,0.1636363636363637,1.0,1.05,0.17181818181818187
2025-08-22,Friday,Jaydev Vihar,Foggy,,88,85,Accident,28,22.4,Kalpana Square,Rasulgarh,20.232232560001375,85.781336268916,20.359808987786824,85.81271095662414,0.7272727272727273,1.28,1.1,1.024
2025-05-06,Tuesday,Kalpana Square,Rainy,,82,84,,0,0.0,Jaydev Vihar,Master Canteen,20.33170241602893,85.84454814595777,20.248525362185173,85.80815094821394,0.709090909090909,1.0,1.2,0.8509090909090907
2025-03-28,Friday,Airport Road,Humid,,50,45,,0,0.0,Master Canteen,Jaydev Vihar,20.252115643304897,85.87284376665426,20.303469287167538,85.79955699488724,0.0,1.0,1.05,0.0
2025-05-08,Thursday,Airport Road,Foggy,,71,73,Sports Event,8,6.4,Master Canteen,Master Canteen,20.271087776777364,85.84990012659412,20.347353716787715,85.8505956521512,0.509090909090909,1.08,1.1,0.6048
2025-04-19,Saturday,Master Canteen,Cloudy,,92,95,,0,0.0,Airport Road,Jaydev Vihar,20.365514347469944,85.81043199090888,20.339499210887006,85.81494469420647,0.9090909090909092,1.0,1.05,0.9545454545454547
2025-02-26,Wednesday,Master Canteen,Cloudy,,80,82,,0,0.0,Khandagiri,Khandagiri,20.255137179643352,85.79063353097665,20.368437635692743,85.86053774271508,0.6727272727272726,1.0,1.05,0.7063636363636363
2025-05-21,Wednesday,Kalpana Square,Rainy,,79,84,,0,0.0,Khandagiri,Kalpana Square,20.245185459368646,85.86400128042722,20.279499088015694,85.82272634413644,0.709090909090909,1.0,1.2,0.8509090909090907
2025-06-10,Tuesday,Khandagiri,Sunny,,60,56,,0,0.0,Kalpana Square,Kalpana Square,20.34676118883596,85.81159345915326,20.345345798780908,85.87458676739895,0.19999999999999996,1.0,1.0,0.19999999999999996
2025-04-08,Tuesday,Jaydev Vihar,Foggy,,77,81,,0,0.0,Kalpana Square,Master Canteen,20.241724770212333,85.8077398694273,20.275505286112498,85.85895658178706,0.6545454545454545,1.0,1.1,0.7200000000000001
2025-07-23,Wednesday,Master Canteen,Sunny,Rath Yatra,103,100,,0,0.0,Kalpana Square,Rasulgarh,20.267529669487374,85.84766563115426,20.306595702800784,85.82976990215577,1.0,1.0,1.0,1.0
2025-08-20,Wednesday,Khandagiri,Sunny,Independence Day,82,81,,0,0.0,Rasulgarh,Jaydev Vihar,20.32828900936892,85.83608705652992,20.26915908790133,85.85344401359612,0.6545454545454545,1.0,1.0,0.6545454545454545
2025-06-04,Wednesday,Khandagiri,Cloudy,,60,63,,0,0.0,Kalpana Square,Rasulgarh,20.26823651779799,85.8764350217757,20.28920658454827,85.8703668407588,0.3272727272727274,1.0,1.05,0.34363636363636374
2025-02-01,Saturday,Rasulgarh,Foggy,,112,100,Sports Event,13,10.4,Rasulgarh,Master Canteen,20.3672906870748,85.82338514935294,20.304723718712207,85.80695572765377,1.0,1.13,1.1,1.2429999999999999
2025-05-30,Friday,Kalpana Square,Humid,,65,69,,0,0.0,Khandagiri,Master Canteen,20.334116944182494,85.84645957337551,20.361543885677516,85.81018920990695,0.4363636363636363,1.0,1.05,0.45818181818181813
2025-01-06,Monday,Jaydev Vihar,Rainy,,87,84,,0,0.0,Rasulgarh,Master Canteen,20.361776721947844,85.83407438677614,20.238967599975506,85.83161409274165,0.709090909090909,1.0,1.2,0.8509090909090907
2025-02-23,Sunday,Master Canteen,Sunny,,91,92,,0,0.0,Rasulgarh,Khandagiri,20.345011622087565,85.82358934239859,20.291664397630495,85.85155422007125,0.8545454545454545,1.0,1.0,0.8545454545454545
2025-08-13,Wednesday,Airport Road,Sunny,,66,67,VIP Convoy,16,12.8,Master Canteen,Airport Road,20.308283667142785,85.8526810230104,20.378187988415974,85.84783401918722,0.3999999999999999,1.16,1.0,0.46399999999999986
2025-04-06,Sunday,Khandagiri,Sunny,,72,68,,0,0.0,Khandagiri,Jaydev Vihar,20.319558645580077,85.83918672173905,20.297137291651197,85.8028754016876,0.4181818181818182,1.0,1.0,0.4181818181818182
2025-01-19,Sunday,Khandagiri,Foggy,,74,79,,0,0.0,Kalpana Square,Airport Road,20.330254435104752,85.79297840450742,20.242616546037866,85.850546426673,0.6181818181818182,1.0,1.1,0.68
2025-04-10,Thursday,Airport Road,Humid,,50,54,,0,0.0,Airport Road,Rasulgarh,20.234090526884493,85.86342147653481,20.286677762599822,85.82740204409255,0.1636363636363637,1.0,1.05,0.17181818181818187
2025-06-17,Tuesday,Rasulgarh,Humid,,75,79,,0,0.0,Khandagiri,Kalpana Square,20.354967107753595,85.85864299411323,20.32774392373728,85.8133673046597,0.6181818181818182,1.0,1.05,0.649090909090909
2025-02-22,Saturday,Airport Road,Foggy,,82,84,Sports Event,11,8.8,Kalpana Square,Jaydev Vihar,20.304862965153646,85.85628847845862,20.266225625197382,85.7892014618403,0.709090909090909,1.11,1.1,0.8658
2025-06-02,Monday,Airport Road,Humid,,50,45,,0,0.0,Airport Road,Kalpana Square,20.28375918457903,85.78402432247887,20.273034464687278,85.86337770292413,0.0,1.0,1.05,0.0
2025-05-12,Monday,Khandagiri,Humid,,60,55,,0,0.0,Airport Road,Rasulgarh,20.251709706133514,85.78417898021448,20.33055843794548,85.78932839458435,0.18181818181818188,1.0,1.05,0.19090909090909097
2025-05-08,Thursday,Airport Road,Rainy,,83,84,VIP Convoy,25,20.0,Airport Road,Master Canteen,20.247698155882485,85.80592171062142,20.279015986872185,85.80353841884369,0.709090909090909,1.25,1.2,1.0636363636363635
2025-01-03,Friday,Rasulgarh,Rainy,,93,92,,0,0.0,Master Canteen,Khandagiri,20.28482861910256,85.79995344277786,20.326941801251262,85.80596968032586,0.8545454545454545,1.0,1.2,1.0254545454545454
2025-04-28,Monday,Kalpana Square,Sunny,,83,86,Sports Event,10,8.0,Kalpana Square,Khandagiri,20.29742545327683,85.86390250113381,20.234638208707775,85.77656116321552,0.7454545454545454,1.1,1.0,0.82
2025-09-07,Sunday,Master Canteen,Foggy,,100,100,,0,0.0,Kalpana Square,Master Canteen,20.26596536280956,85.86678191411238,20.233217711029326,85.8037184096567,1.0,1.0,1.1,1.1
2025-03-31,Monday,Master Canteen,Humid,,80,83,,0,0.0,Jaydev Vihar,Airport Road,20.35474219568224,85.8240592862874,20.359840083196264,85.83295181674389,0.6909090909090909,1.0,1.05,0.7254545454545455
2025-05-28,Wednesday,Airport Road,Humid,,50,53,,0,0.0,Master Canteen,Rasulgarh,20.28939571880954,85.85930407196983,20.238676271480045,85.8203516403849,0.1454545454545455,1.0,1.05,0.1527272727272728
2025-05-01,Thursday,Jaydev Vihar,Foggy,,80,85,,0,0.0,Khandagiri,Kalpana Square,20.37873591005195,85.85941915463174,20.333829018579774,85.87062569189959,0.7272727272727273,1.0,1.1,0.8
2025-07-01,Tuesday,Khandagiri,Humid,Rath Yatra,79,78,,0,0.0,Airport Road,Airport Road,20.255797386689643,85.81593504144102,20.259818230104532,85.86328725978491,0.6000000000000001,1.0,1.05,0.6300000000000001
2025-04-23,Wednesday,Khandagiri,Rainy,,87,85,Sports Event,13,10.4,Kalpana Square,Jaydev Vihar,20.298115196705865,85.79248572903508,20.2605845231317,85.86472607295839,0.7272727272727273,1.13,1.2,0.986181818181818
2025-03-03,Monday,Jaydev Vihar,Rainy,,84,83,,0,0.0,Kalpana Square,Master Canteen,20.296531290558523,85.81995226536588,20.296521737488895,85.80492845660012,0.6909090909090909,1.0,1.2,0.8290909090909091
2025-01-29,Wednesday,Khandagiri,Humid,,60,57,,0,0.0,Khandagiri,Khandagiri,20.345570272915946,85.87529681098384,20.352936045630077,85.77267802621598,0.21818181818181825,1.0,1.05,0.22909090909090918
2025-01-19,Sunday,Kalpana Square,Foggy,,99,98,Sports Event,12,9.6,Master Canteen,Kalpana Square,20.311656791919212,85.86813848204959,20.319423226114004,85.80462635055393,0.9636363636363636,1.12,1.1,1.1872000000000003
2025-02-19,Wednesday,Jaydev Vihar,Sunny,,80,79,VIP Convoy,19,15.2,Kalpana Square,Airport Road,20.34505990826548,85.84349755494239,20.268057826013557,85.82998366702705,0.6181818181818182,1.19,1.0,0.7356363636363635
2025-03-26,Wednesday,Rasulgarh,Humid,,75,78,,0,0.0,Kalpana Square,Airport Road,20.31222966782695,85.84901785984368,20.366655966615042,85.83080802646232,0.6000000000000001,1.0,1.05,0.6300000000000001
2025-01-11,Saturday,Airport Road,Cloudy,,82,86,Political Rally,10,8.0,Jaydev Vihar,Airport Road,20.336635617960297,85.8601589788059,20.27623010251582,85.774303675975,0.7454545454545454,1.1,1.05,0.861
2025-02-28,Friday,Rasulgarh,Foggy,,98,99,Accident,21,16.8,Airport Road,Kalpana Square,20.347147408346697,85.79651827407285,20.245132164195095,85.8605602714531,0.9818181818181817,1.21,1.1,1.3067999999999997
2025-06-01,Sunday,Master Canteen,Sunny,,86,89,,0,0.0,Master Canteen,Kalpana Square,20.267671245552872,85.87564265211341,20.30732859349578,85.85179615751986,0.8,1.0,1.0,0.8
2025-03-18,Tuesday,Airport Road,Foggy,,60,63,,0,0.0,Kalpana Square,Master Canteen,20.291862586244832,85.86969662593135,20.326054064073947,85.78314639563068,0.3272727272727274,1.0,1.1,0.36000000000000015
2025-05-13,Tuesday,Master Canteen,Foggy,,90,86,,0,0.0,Jaydev Vihar,Master Canteen,20.37205152879772,85.828659096256,20.362514566451168,85.78590698130782,0.7454545454545454,1.0,1.1,0.82
2025-03-25,Tuesday,Airport Road,Sunny,Holi,75,79,,0,0.0,Kalpana Square,Rasulgarh,20.3117506821162,85.8740636715097,20.306846590855354,85.791873576229,0.6181818181818182,1.0,1.0,0.6181818181818182
2025-07-28,Monday,Jaydev Vihar,Sunny,,86,83,Bad Roads,7,5.6,Master Canteen,Rasulgarh,20.27010143143993,85.87087053029705,20.26844558714937,85.85023596771,0.6909090909090909,1.07,1.0,0.7392727272727273
2025-09-02,Tuesday,Khandagiri,Sunny,,60,58,,0,0.0,Khandagiri,Rasulgarh,20.268726064316503,85.77824669067438,20.25830351414718,85.84893072119236,0.23636363636363633,1.0,1.0,0.23636363636363633
2025-01-10,Friday,Khandagiri,Foggy,,65,63,,0,0.0,Master Canteen,Airport Road,20.299732855508193,85.8644610173039,20.274643385724165,85.84621066846204,0.3272727272727274,1.0,1.1,0.36000000000000015
2025-02-23,Sunday,Master Canteen,Sunny,,90,87,,0,0.0,Airport Road,Master Canteen,20.301371067947166,85.84441752272627,20.367973310020044,85.79104514771414,0.7636363636363637,1.0,1.0,0.7636363636363637
2025-05-31,Saturday,Master Canteen,Sunny,,93,92,,0,0.0,Khandagiri,Master Canteen,20.364775791512866,85.84246698942233,20.271928777297802,85.87800999124373,0.8545454545454545,1.0,1.0,0.8545454545454545
2025-04-26,Saturday,Rasulgarh,Sunny,,90,92,,0,0.0,Airport Road,Khandagiri,20.355475132361597,85.8396429623669,20.25898367232565,85.84477286275606,0.8545454545454545,1.0,1.0,0.8545454545454545
2025-07-27,Sunday,Khandagiri,Humid,Rath Yatra,105,100,Sports Event,14,11.2,Rasulgarh,Jaydev Vihar,20.245189971940437,85.833122149082,20.298684160845426,85.820782429057,1.0,1.1400000000000001,1.05,1.1970000000000003
2025-06-02,Monday,Kalpana Square,Rainy,,75,71,,0,0.0,Kalpana Square,Rasulgarh,20.239551533088424,85.86980599143648,20.255286302862793,85.83542250729808,0.47272727272727266,1.0,1.2,0.5672727272727272
2025-06-18,Wednesday,Master Canteen,Foggy,,90,93,,0,0.0,Khandagiri,Master Canteen,20.377733209052348,85.78867931839298,20.27139058880829,85.82272895720648,0.8727272727272728,1.0,1.1,0.9600000000000002
2025-06-07,Saturday,Master Canteen,Rainy,,125,100,Accident,22,17.6,Kalpana Square,Khandagiri,20.285957427310912,85.82347267426435,20.36088665360408,85.77218968287721,1.0,1.22,1.2,1.464
2025-06-07,Saturday,Rasulgarh,Cloudy,,88,91,,0,0.0,Rasulgarh,Rasulgarh,20.269424590794713,85.83954478666118,20.255899993415117,85.86392167495225,0.8363636363636364,1.0,1.05,0.8781818181818183
2025-07-01,Tuesday,Airport Road,Foggy,,57,56,,0,0.0,Khandagiri,Airport Road,20.287774971768865,85.77510177830463,20.262522815759954,85.84993825044685,0.19999999999999996,1.0,1.1,0.21999999999999997
2025-08-14,Thursday,Rasulgarh,Humid,,75,76,,0,0.0,Airport Road,Airport Road,20.25356699774776,85.80084451495905,20.368842892773806,85.85246622143552,0.5636363636363637,1.0,1.05,0.5918181818181819
2025-02-03,Monday,Master Canteen,Rainy,,99,99,,0,0.0,Kalpana Square,Khandagiri,20.29879267168395,85.86544361273826,20.312405864256842,85.84197896649303,0.9818181818181817,1.0,1.2,1.178181818181818
2025-07-31,Thursday,Khandagiri,Rainy,,94,99,Sports Event,11,8.8,Kalpana Square,Airport Road,20.29522306855045,85.79841648813917,20.37851708290889,85.81491711448925,0.9818181818181817,1.11,1.2,1.3077818181818182
2025-01-17,Friday,Rasulgarh,Humid,,75,72,,0,0.0,Master Canteen,Rasulgarh,20.305853461625762,85.78882365392674,20.34546615449706,85.79364441263209,0.49090909090909096,1.0,1.05,0.5154545454545455
2025-02-21,Friday,Kalpana Square,Rainy,,85,86,,0,0.0,Khandagiri,Kalpana Square,20.27162988284165,85.81942238562566,20.32084754194989,85.79737722145668,0.7454545454545454,1.0,1.2,0.8945454545454544
2025-06-20,Friday,Rasulgarh,Cloudy,,75,78,,0,0.0,Kalpana Square,Airport Road,20.350490883581944,85.8734096314302,20.353525803860098,85.8218359017763,0.6000000000000001,1.0,1.05,0.6300000000000001
2025-01-24,Friday,Kalpana Square,Foggy,,74,72,,0,0.0,Khandagiri,Airport Road,20.287784365993666,85.86986922106709,20.352127304202142,85.8144804174506,0.49090909090909096,1.0,1.1,0.5400000000000001
2025-02-13,Thursday,Rasulgarh,Foggy,,100,98,Bad Roads,6,4.8,Airport Road,Master Canteen,20.273511508330728,85.86997308134126,20.24392185058372,85.78600294536021,0.9636363636363636,1.06,1.1,1.1236
2025-03-10,Monday,Kalpana Square,Rainy,Holi,107,100,,0,0.0,Kalpana Square,Airport Road,20.260221889921013,85.83370926895122,20.260547497642236,85.8690954320034,1.0,1.0,1.2,1.2
2025-09-07,Sunday,Khandagiri,Rainy,,83,88,,0,0.0,Airport Road,Master Canteen,20.240610616644066,85.80221658984613,20.37908461133476,85.85820546793711,0.7818181818181817,1.0,1.2,0.938181818181818
2025-05-11,Sunday,Jaydev Vihar,Rainy,,103,100,,0,0.0,Kalpana Square,Jaydev Vihar,20.23003486613716,85.83915926524072,20.282365953394326,85.79443887611062,1.0,1.0,1.2,1.2
2025-05-22,Thursday,Rasulgarh,Humid,,75,75,,0,0.0,Master Canteen,Khandagiri,20.36454518178635,85.79248761622645,20.357359051356863,85.84220327619924,0.5454545454545454,1.0,1.05,0.5727272727272728
2025-08-15,Friday,Airport Road,Sunny,,50,46,,0,0.0,Kalpana Square,Khandagiri,20.313488671396957,85.8263475471721,20.311400564526917,85.77481445084484,0.018181818181818188,1.0,1.0,0.018181818181818188
2025-04-26,Saturday,Khandagiri,Sunny,,69,73,,0,0.0,Kalpana Square,Master Canteen,20.303133917139213,85.81567169845921,20.270697300257872,85.86088645082748,0.509090909090909,1.0,1.0,0.509090909090909
2025-07-18,Friday,Khandagiri,Humid,,60,59,,0,0.0,Kalpana Square,Khandagiri,20.3757935272053,85.81026729407418,20.305416955679004,85.78519132204079,0.25454545454545463,1.0,1.05,0.2672727272727274
2025-01-12,Sunday,Kalpana Square,Cloudy,,92,87,Accident,25,20.0,Rasulgarh,Airport Road,20.358515444486457,85.80096479049432,20.333111596397444,85.81560821887787,0.7636363636363637,1.25,1.05,1.0022727272727274
2025-08-15,Friday,Jaydev Vihar,Foggy,Independence Day,108,100,Accident,29,23.2,Kalpana Square,Rasulgarh,20.28108900856919,85.82339065722965,20.379346741058015,85.87252502943775,1.0,1.29,1.1,1.4190000000000003
2025-04-06,Sunday,Jaydev Vihar,Cloudy,,94,94,Sports Event,11,8.8,Khandagiri,Master Canteen,20.24080948913881,85.87217497311768,20.243923755535555,85.8752016012446,0.8909090909090909,1.11,1.05,1.0383545454545455
2025-08-06,Wednesday,Kalpana Square,Rainy,,80,75,,0,0.0,Rasulgarh,Khandagiri,20.33476457086219,85.79902961932594,20.31532742438645,85.84544766034769,0.5454545454545454,1.0,1.2,0.6545454545454544
2025-04-12,Saturday,Kalpana Square,Foggy,,101,96,Political Rally,14,11.2,Airport Road,Khandagiri,20.353712552696127,85.82379150031947,20.375186138435122,85.82940066614304,0.9272727272727272,1.1400000000000001,1.1,1.1628
2025-08-18,Monday,Kalpana Square,Humid,,65,63,,0,0.0,Master Canteen,Rasulgarh,20.340254691101805,85.81369715595808,20.33493024824844,85.79629957126663,0.3272727272727274,1.0,1.05,0.34363636363636374
2025-06-13,Friday,Master Canteen,Sunny,,98,99,Bad Roads,9,7.2,Master Canteen,Rasulgarh,20.35181971929385,85.78759163181299,20.336909438083726,85.83635147202986,0.9818181818181817,1.09,1.0,1.0701818181818181
2025-08-30,Saturday,Khandagiri,Humid,,66,61,,0,0.0,Kalpana Square,Kalpana Square,20.335617775119246,85.8780614266535,20.285523536163037,85.81022179864743,0.290909090909091,1.0,1.05,0.3054545454545456
2025-01-02,Thursday,Jaydev Vihar,Cloudy,,70,67,,0,0.0,Jaydev Vihar,Jaydev Vihar,20.282702755451293,85.7972464210955,20.25182816811223,85.8548301433911,0.3999999999999999,1.0,1.05,0.41999999999999993
2025-01-30,Thursday,Khandagiri,Cloudy,,60,63,,0,0.0,Khandagiri,Rasulgarh,20.330742312802844,85.86753884310491,20.36224289925305,85.79642567214384,0.3272727272727274,1.0,1.05,0.34363636363636374
2025-07-21,Monday,Rasulgarh,Cloudy,,75,76,,0,0.0,Airport Road,Kalpana Square,20.288212764641084,85.84092622952124,20.273830041723986,85.85418341552578,0.5636363636363637,1.0,1.05,0.5918181818181819
2025-08-12,Tuesday,Rasulgarh,Cloudy,,92,93,Sports Event,10,8.0,Master Canteen,Khandagiri,20.331049436677848,85.86090816295018,20.261940007662062,85.80205011685652,0.8727272727272728,1.1,1.05,1.0080000000000002
2025-01-31,Friday,Master Canteen,Cloudy,,80,81,,0,0.0,Kalpana Square,Jaydev Vihar,20.338804062291167,85.79049232735092,20.287968113836662,85.82113312017243,0.6545454545454545,1.0,1.05,0.6872727272727273
2025-08-01,Friday,Master Canteen,Humid,,100,98,Political Rally,10,8.0,Jaydev Vihar,Kalpana Square,20.32662507097354,85.85386237586788,20.27844241413573,85.83697037180119,0.9636363636363636,1.1,1.05,1.1130000000000002
2025-03-02,Sunday,Rasulgarh,Sunny,,85,87,,0,0.0,Kalpana Square,Airport Road,20.297336831976196,85.8319285072785,20.30960086949095,85.84780371685652,0.7636363636363637,1.0,1.0,0.7636363636363637
2025-02-25,Tuesday,Airport Road,Sunny,,64,59,VIP Convoy,15,12.0,Rasulgarh,Jaydev Vihar,20.248764335229136,85.80850754872016,20.237686114027287,85.83461014483055,0.25454545454545463,1.15,1.0,0.2927272727272728
2025-06-17,Tuesday,Airport Road,Sunny,,65,69,Bad Roads,6,4.8,Rasulgarh,Rasulgarh,20.363060547649003,85.83608266066851,20.26700592983815,85.85530235253448,0.4363636363636363,1.06,1.0,0.4625454545454545
2025-05-14,Wednesday,Khandagiri,Cloudy,,80,83,Political Rally,13,10.4,Jaydev Vihar,Master Canteen,20.30397579000457,85.83521613941038,20.379939405248763,85.85439114805877,0.6909090909090909,1.13,1.05,0.8197636363636364
2025-07-21,Monday,Khandagiri,Sunny,Rath Yatra,102,100,Construction Work,7,5.6,Rasulgarh,Rasulgarh,20.290899253028233,85.77873179776334,20.26887555802676,85.77838860029053,1.0,1.07,1.0,1.07
2025-01-02,Thursday,Master Canteen,Humid,,80,76,,0,0.0,Jaydev Vihar,Rasulgarh,20.23004057342671,85.80789720468118,20.370595182373805,85.86396377530377,0.5636363636363637,1.0,1.05,0.5918181818181819
2025-05-25,Sunday,Rasulgarh,Sunny,,87,91,,0,0.0,Master Canteen,Jaydev Vihar,20.287620385604427,85.78661624937538,20.37281438233474,85.79485637066439,0.8363636363636364,1.0,1.0,0.8363636363636364
2025-05-10,Saturday,Airport Road,Foggy,,63,66,,0,0.0,Khandagiri,Airport Road,20.30498258116784,85.79368716837868,20.352601213791793,85.83180710588283,0.38181818181818183,1.0,1.1,0.42000000000000004
2025-07-14,Monday,Jaydev Vihar,Rainy,,87,92,,0,0.0,Jaydev Vihar,Master Canteen,20.304909497064592,85.87127995653638,20.362382001862606,85.80147862180718,0.8545454545454545,1.0,1.2,1.0254545454545454
2025-08-20,Wednesday,Kalpana Square,Rainy,,98,100,Political Rally,18,14.4,Airport Road,Khandagiri,20.28849699467395,85.85589600626719,20.282712193374813,85.78127676004917,1.0,1.18,1.2,1.416
2025-02-03,Monday,Jaydev Vihar,Cloudy,,70,73,,0,0.0,Rasulgarh,Rasulgarh,20.25761296810338,85.8515464673167,20.266352392366294,85.8258663724631,0.509090909090909,1.0,1.05,0.5345454545454545
2025-06-18,Wednesday,Airport Road,Cloudy,,70,71,Accident,25,20.0,Khandagiri,Airport Road,20.300587874082314,85.87971334760545,20.27166671090969,85.8187077313035,0.47272727272727266,1.25,1.05,0.6204545454545454
2025-03-07,Friday,Kalpana Square,Sunny,,75,75,Sports Event,13,10.4,Jaydev Vihar,Kalpana Square,20.378875905134862,85.78550824508771,20.361520828030255,85.80847654829668,0.5454545454545454,1.13,1.0,0.6163636363636362
2025-01-13,Monday,Rasulgarh,Humid,,90,86,VIP Convoy,24,19.2,Airport Road,Airport Road,20.231185094142514,85.78876509690598,20.26848524257148,85.87842724099701,0.7454545454545454,1.24,1.05,0.9705818181818181
2025-01-13,Monday,Master Canteen,Sunny,,80,80,,0,0.0,Kalpana Square,Rasulgarh,20.33807987837297,85.86656131049722,20.252525883491895,85.78673631810783,0.6363636363636365,1.0,1.0,0.6363636363636365
2025-06-24,Tuesday,Jaydev Vihar,Humid,,70,70,,0,0.0,Jaydev Vihar,Kalpana Square,20.243621667916337,85.82818466325769,20.369172433529133,85.84131089278941,0.4545454545454546,1.0,1.05,0.47727272727272735
2025-01-04,Saturday,Jaydev Vihar,Humid,,103,100,Political Rally,20,16.0,Master Canteen,Airport Road,20.233152993462042,85.85986579055962,20.36042463532801,85.83110283678496,1.0,1.2,1.05,1.26
2025-07-13,Sunday,Rasulgarh,Rainy,Rath Yatra,121,100,,0,0.0,Jaydev Vihar,Kalpana Square,20.360209272152296,85.78420374297852,20.257605112005916,85.86975367562557,1.0,1.0,1.2,1.2
2025-06-17,Tuesday,Khandagiri,Sunny,,60,61,,0,0.0,Khandagiri,Airport Road,20.298357716195692,85.85255420192476,20.29834957814218,85.77357023910807,0.290909090909091,1.0,1.0,0.290909090909091
2025-06-21,Saturday,Master Canteen,Sunny,,85,81,,0,0.0,Jaydev Vihar,Jaydev Vihar,20.2762128983108,85.82429564107477,20.236027673567257,85.82446097962732,0.6545454545454545,1.0,1.0,0.6545454545454545
2025-05-19,Monday,Rasulgarh,Humid,,75,77,,0,0.0,Khandagiri,Master Canteen,20.274777537061567,85.85254701246284,20.372928378729284,85.77092161616979,0.5818181818181818,1.0,1.05,0.610909090909091
2025-07-16,Wednesday,Master Canteen,Cloudy,Rath Yatra,105,100,,0,0.0,Kalpana Square,Khandagiri,20.319385646485205,85.84843301198066,20.277413205327356,85.79838316257869,1.0,1.0,1.05,1.05
2025-02-07,Friday,Kalpana Square,Cloudy,,65,66,,0,0.0,Khandagiri,Khandagiri,20.230765204582895,85.79670670930797,20.291346381511108,85.83466375033191,0.38181818181818183,1.0,1.05,0.40090909090909094
2025-08-16,Saturday,Airport Road,Foggy,,72,71,,0,0.0,Kalpana Square,Khandagiri,20.361927280112962,85.79199999871878,20.2593015961149,85.843095209208,0.47272727272727266,1.0,1.1,0.52
2025-06-09,Monday,Airport Road,Foggy,,60,65,,0,0.0,Kalpana Square,Rasulgarh,20.30058054204139,85.8185647494687,20.360549215649534,85.82019254799482,0.36363636363636354,1.0,1.1,0.3999999999999999
2025-07-23,Wednesday,Kalpana Square,Humid,,65,68,,0,0.0,Kalpana Square,Kalpana Square,20.23264276783948,85.784742745124,20.361004358650867,85.80918680987521,0.4181818181818182,1.0,1.05,0.43909090909090914
2025-04-09,Wednesday,Airport Road,Cloudy,,50,50,,0,0.0,Khandagiri,Master Canteen,20.313266061967223,85.84078781547615,20.30356578317914,85.81639843500763,0.09090909090909094,1.0,1.05,0.09545454545454549
2025-05-19,Monday,Kalpana Square,Rainy,,75,71,,0,0.0,Kalpana Square,Rasulgarh,20.257894565317276,85.82959534389633,20.26099897014411,85.87140715578171,0.47272727272727266,1.0,1.2,0.5672727272727272
